0,2,5,9,14,20,27,35,44,54,65,77,90,104,119,135,152,170,189,209,230,252,275,299,324,350,377,405,434,464,495,527,560,594,629,665,702,740,779,819,860,902,945,989,1034,1080,1127,1175,1224,1274,1325,1377,1430,1484,1539,1595,1652,1710,1769,1829,1890,1952,2015,2079,2144,2210,2277,2345,2414,2484,2555,2627,2700,2774,2849,2925,3002,3080,3159,3239,3320,3402,3485,3569,3654,3740,3827,3915,4004,4094,4185,4277,4370,4464,4559,4655,4752,4850,4949,5049
0,0,6,10,20,26,40,48,57,67,89,101,127,141,156,172,206,224,262,282,303,325,371,395,420,446,473,501,559,589,651,683,716,750,785,821,895,933,972,1012,1094,1136,1222,1266,1311,1357,1451,1499,1548,1598,1649,1701,1807,1861,1916,1972,2029,2087,2205,2265,2387,2449,2512,2576,2641,2707,2841,2909,2978,3048,3190,3262,3408,3482,3557,3633,3710,3788,3946,4026,4107,4189,4355,4439,4524,4610,4697,4785,4963,5053,5144,5236,5329,5423,5518,5614,5808,5906,6005,6105
0,0,0,12,27,33,54,62,71,81,114,126,165,179,194,210,261,279,336,356,377,399,468,492,517,543,570,598,685,715,808,840,873,907,942,978,1089,1127,1166,1206,1329,1371,1500,1544,1589,1635,1776,1824,1873,1923,1974,2026,2185,2239,2294,2350,2407,2465,2642,2702,2885,2947,3010,3074,3139,3205,3406,3474,3543,3613,3826,3898,4117,4191,4266,4342,4419,4497,4734,4814,4895,4977,5226,5310,5395,5481,5568,5656,5923,6013,6104,6196,6289,6383,6478,6574,6865,6963,7062,7162
0,0,0,0,20,32,60,68,86,96,140,152,204,218,233,249,317,335,411,431,452,474,566,590,615,641,668,696,812,842,966,998,1031,1065,1100,1136,1284,1322,1361,1401,1565,1607,1779,1823,1868,1914,2102,2150,2199,2249,2300,2352,2564,2618,2673,2729,2786,2844,3080,3140,3384,3446,3509,3573,3638,3704,3972,4040,4109,4179,4463,4535,4827,4901,4976,5052,5129,5207,5523,5603,5684,5766,6098,6182,6267,6353,6440,6528,6884,6974,7065,7157,7250,7344,7439,7535,7923,8021,8120,8220
0,0,0,0,0,30,65,89,107,117,172,184,249,263,278,294,379,397,492,512,533,555,670,694,719,745,772,800,945,975,1130,1162,1195,1229,1264,1300,1485,1523,1562,1602,1807,1849,2064,2108,2153,2199,2434,2482,2531,2581,2632,2684,2949,3003,3058,3114,3171,3229,3524,3584,3889,3951,4014,4078,4143,4209,4544,4612,4681,4751,5106,5178,5543,5617,5692,5768,5845,5923,6318,6398,6479,6561,6976,7060,7145,7231,7318,7406,7851,7941,8032,8124,8217,8311,8406,8502,8987,9085,9184,9284
0,0,0,0,0,0,42,66,84,114,180,192,270,284,314,330,432,450,564,584,605,627,765,789,839,865,892,920,1094,1124,1310,1342,1375,1409,1444,1480,1702,1740,1779,1819,2065,2107,2365,2409,2454,2500,2782,2830,2879,2929,2980,3032,3350,3404,3459,3515,3572,3630,3984,4044,4410,4472,4535,4599,4664,4730,5132,5200,5269,5339,5765,5837,6275,6349,6424,6500,6577,6655,7129,7209,7290,7372,7870,7954,8039,8125,8212,8300,8834,8924,9015,9107,9200,9294,9389,9485,10067,10165,10264,10364
0,0,0,0,0,0,0,56,119,159,236,233,324,338,368,384,503,521,654,674,695,717,878,902,952,978,1005,1033,1236,1266,1483,1515,1548,1582,1617,1653,1912,1950,1989,2029,2316,2358,2659,2703,2748,2794,3123,3171,3220,3270,3321,3373,3744,3798,3853,3909,3966,4024,4437,4497,4924,4986,5049,5113,5178,5244,5713,5781,5850,5920,6417,6489,7000,7074,7149,7225,7302,7380,7933,8013,8094,8176,8757,8841,8926,9012,9099,9187,9810,9900,9991,10083,10176,10270,10365,10461,11140,11238,11337,11437
0,0,0,0,0,0,0,0,72,112,200,188,292,348,378,394,530,548,700,720,762,784,968,992,1042,1068,1095,1123,1355,1385,1633,1665,1698,1732,1802,1838,2134,2172,2211,2251,2579,2621,2965,3009,3054,3100,3476,3524,3622,3672,3723,3775,4199,4253,4308,4364,4421,4479,4951,5011,5499,5561,5624,5688,5753,5819,6355,6423,6492,6562,7130,7202,7786,7860,7935,8011,8088,8166,8798,8878,8959,9041,9705,9789,9874,9960,10047,10135,10847,10937,11028,11120,11213,11307,11402,11498,12274,12372,12471,12571
0,0,0,0,0,0,0,0,0,90,189,195,312,382,397,445,598,616,787,807,842,864,1071,1095,1145,1171,1198,1226,1487,1517,1796,1828,1861,1895,1965,2001,2334,2372,2411,2451,2820,2862,3249,3293,3338,3384,3807,3855,3953,4003,4054,4106,4583,4637,4692,4748,4805,4863,5394,5454,6003,6065,6128,6192,6257,6323,6926,6994,7063,7133,7772,7844,8501,8575,8650,8726,8803,8881,9592,9672,9753,9835,10582,10666,10751,10837,10924,11012,11813,11903,11994,12086,12179,12273,12368,12464,13337,13435,13534,13634
0,0,0,0,0,0,0,0,0,0,110,170,300,370,400,448,618,654,844,864,906,928,1158,1182,1232,1258,1312,1340,1630,1660,1970,2002,2035,2069,2139,2175,2545,2583,2622,2662,3072,3114,3544,3588,3633,3679,4149,4197,4295,4345,4396,4448,4978,5032,5087,5143,5200,5258,5848,5908,6518,6580,6643,6707,6772,6838,7508,7576,7645,7715,8425,8497,9227,9301,9376,9452,9529,9607,10397,10477,10558,10640,11470,11554,11639,11725,11812,11900,12790,12880,12971,13063,13156,13250,13345,13441,14411,14509,14608,14708
